ᎦᏗᎭ.	I am saying.
ᎨᏍᏓᏚᎵᎭ.	They are wanting you two.
ᏕᏍᏓᏚᎵᎭ.	You two are wanting them-inanimate.
ᎡᏣᏚᎵᎭ.	You all are wanting him.
ᎡᏣᏚᎵᎭ.	You one are wanted.
ᎡᏣᏚᎵᎭ.	You all are wanted.
ᎨᏣᏚᎵᎭ.	You all are wanting them-animate.
ᎨᏣᏚᎵᎭ.	They are wanting you one.
ᎨᏣᏚᎵᎭ.	They are wanting you all.
ᏕᏣᏚᎵᎭ.	You all are wanting them-inanimate.
ᎬᏆᏚᎵᎭ.	They are wanting me.
ᎤᎾᏚᎵᎭ.	They are wanting him.
ᎤᎾᏚᎵᎭ.	They are wanting it.
ᎨᎩᎾᏚᎵᎭ.	They are wanting us, you one and me.
ᎪᎩᎾᏚᎵᎭ.	They are wanting us, him and me.
ᎨᎦᏚᎵᎭ.	They are wanting us, you all and me.
ᎨᎦᏚᎵᎭ.	They are wanted.
ᎪᎦᏚᎵᎭ.	They are wanting us, them and me.
ᏚᎾᏚᎵᎭ.	They are wanting them-animate.
ᏚᎾᏚᎵᎭ.	They are wanting them-inanimate.
ᎥᏆᏚᎵᎭ.	I am wanted.
ᎠᎦᏚᎵᎭ.	He is wanted.
ᎡᎩᎾᏚᎵᎭ.	You one and I, we are wanted.
ᎡᎦᏚᎵᎭ.	You all and I, we are wanted.
ᏍᏓᏓᏚᎵᎭ.	You two are wanting yourselves.
ᎢᏣᏓᏚᎵᎭ.	You all are wanting yourselves.
ᎠᏆᏓᏚᎵᎭ.	I am wanting myself.
ᏣᏓᏚᎵᎭ.	You one are wanting yourself.
ᎤᏓᏚᎵᎭ.	He is wanting himself.
ᎩᎾᏓᏚᎵᎭ.	You one and I, we are wanting ourselves.
ᎢᎦᏓᏚᎵᎭ.	You all and I, we are wanting ourselves.
ᎣᎩᎾᏓᏚᎵᎭ.	He and I, we are wanting ourselves.
ᎣᎦᏓᏚᎵᎭ.	They and I, we are wanting ourselves.
ᎤᎾᏓᏚᎵᎭ.	They are wanting themselves.
ᏕᏍᏓᏓᏚᎵᎭ.	You two are wanting each other.
ᏕᏣᏓᏚᎵᎭ.	You all are wanting each other.
ᏕᎩᎾᏓᏚᎵᎭ.	You one and I, we are wanting each other.
ᏕᎦᏓᏚᎵᎭ.	You all and I, we are wanting each other.
ᏙᎩᎾᏓᏚᎵᎭ.	He and I, we are wanting each other.
ᏙᎦᏓᏚᎵᎭ.	They and I, we are wanting each other.
ᏚᎾᏓᏚᎵᎭ.	They are wanting each other.
ᎬᏯᏚᎸᎲᎢ.	I wanted you one a while ago.
ᏥᏯᏚᎸᎲᎢ.	I wanted him a while ago.
ᎠᏆᏚᎸᎲᎢ.	I wanted it a while ago.
ᎠᏆᏚᎸᎲᎢ.	He wanted me a while ago.
ᏍᏛᏯᏚᎸᎲᎢ.	I wanted you two a while ago.
ᏍᏛᏯᏚᎸᎲᎢ.	He and I, we wanted you one a while ago.
ᏍᏛᏯᏚᎸᎲᎢ.	He and I, we wanted you two a while ago.
ᎢᏨᏯᏚᎸᎲᎢ.	I wanted you all a while ago.
ᎢᏨᏯᏚᎸᎲᎢ.	He and I, we wanted you all a while ago.
ᎢᏨᏯᏚᎸᎲᎢ.	They and I, we wanted you one a while ago.
ᎢᏨᏯᏚᎸᎲᎢ.	They and I, we wanted you two a while ago.
ᎢᏨᏯᏚᎸᎲᎢ.	They and I, we wanted you all a while ago.
ᎦᏥᏯᏚᎸᎲᎢ.	I wanted them-animate a while ago.
ᏓᏆᏚᎸᎲᎢ.	I wanted them-inanimate a while ago.
ᏍᏆᏚᎸᎲᎢ.	You one wanted me a while ago.
ᎯᏯᏚᎸᎲᎢ.	You one wanted him a while ago.
ᏣᏚᎸᎲᎢ.	You one wanted it a while ago.
ᏣᏚᎸᎲᎢ.	He wanted you one a while ago.
ᏍᎩᎾᏚᎸᎲᎢ.	You one wanted us, him and me a while ago.
ᏍᎩᎾᏚᎸᎲᎢ.	You two wanted me a while ago.
ᏍᎩᎾᏚᎸᎲᎢ.	You two wanted us, him and me a while ago.
ᎢᏍᎩᏯᏚᎸᎲᎢ.	You one wanted us, them and me a while ago.
ᎢᏍᎩᏯᏚᎸᎲᎢ.	You two wanted us, them and me a while ago.
ᎢᏍᎩᏯᏚᎸᎲᎢ.	You all wanted me a while ago.
ᎢᏍᎩᏯᏚᎸᎲᎢ.	You all wanted us, him and me a while ago.
ᎢᏍᎩᏯᏚᎸᎲᎢ.	You all wanted us, them and me a while ago.
ᎦᎯᏯᏚᎸᎲᎢ.	You one wanted them-animate a while ago.
ᏕᏣᏚᎸᎲᎢ.	You one wanted them-inanimate a while ago.
ᎤᏚᎸᎲᎢ.	He wanted him a while ago.
ᎤᏚᎸᎲᎢ.	He wanted it a while ago.
ᎩᎾᏚᎸᎲᎢ.	He wanted us, you one and me a while ago.
ᎩᎾᏚᎸᎲᎢ.	You one and I, we wanted it a while ago.
ᎣᎩᎾᏚᎸᎲᎢ.	He wanted us, him and me a while ago.
ᎣᎩᎾᏚᎸᎲᎢ.	He and I, we wanted it a while ago.
ᎣᎩᎾᏚᎸᎲᎢ.	He and I, we were wanted a while ago.
ᎢᎦᏚᎸᎲᎢ.	He wanted us, you all and me a while ago.
ᎢᎦᏚᎸᎲᎢ.	You all and I, we wanted it a while ago.
ᎣᎦᏚᎸᎲᎢ.	He wanted us, them and me a while ago.
ᎣᎦᏚᎸᎲᎢ.	They and I, we wanted it a while ago.
ᎣᎦᏚᎸᎲᎢ.	They and I, we were wanted a while ago.
ᏍᏓᏚᎸᎲᎢ.	He wanted you two a while ago.
ᏍᏓᏚᎸᎲᎢ.	You two wanted it a while ago.
ᎢᏣᏚᎸᎲᎢ.	He wanted you all a while ago.
ᎢᏣᏚᎸᎲᎢ.	You all wanted it a while ago.
ᏚᏚᎸᎲᎢ.	He wanted them-animate a while ago.
ᏚᏚᎸᎲᎢ.	He wanted them-inanimate a while ago.
ᎡᎾᏚᎸᎲᎢ.	You one and I, we wanted him a while ago.
ᎨᎾᏚᎸᎲᎢ.	You one and I, we wanted them-animate a while ago.
ᏕᎩᎾᏚᎸᎲᎢ.	You one and I, we wanted them-inanimate a while ago.
ᎣᏍᏓᏚᎸᎲᎢ.	He and I, we wanted him a while ago.
ᎪᏍᏓᏚᎸᎲᎢ.	He and I, we wanted them-animate a while ago.
ᏙᎩᎾᏚᎸᎲᎢ.	He and I, we wanted them-inanimate a while ago.
ᎡᏓᏚᎸᎲᎢ.	You all and I, we wanted him a while ago.
ᎨᏓᏚᎸᎲᎢ.	You all and I, we wanted them-animate a while ago.
ᏕᎦᏚᎸᎲᎢ.	You all and I, we wanted them-inanimate a while ago.
ᎣᏣᏚᎸᎲᎢ.	They and I, we wanted him a while ago.
ᎪᏣᏚᎸᎲᎢ.	They and I, we wanted them-animate a while ago.
ᏙᎦᏚᎸᎲᎢ.	They and I, we wanted them-inanimate a while ago.
ᎡᏍᏓᏚᎸᎲᎢ.	You two wanted him a while ago.
ᎡᏍᏓᏚᎸᎲᎢ.	You two were wanted a while ago.
ᎨᏍᏓᏚᎸᎲᎢ.	You two wanted them-animate a while ago.
ᎨᏍᏓᏚᎸᎲᎢ.	They wanted you two a while ago.
ᏕᏍᏓᏚᎸᎲᎢ.	You two wanted them-inanimate a while ago.
ᎡᏣᏚᎸᎲᎢ.	You all wanted him a while ago.
ᎡᏣᏚᎸᎲᎢ.	You one were wanted a while ago.
ᎡᏣᏚᎸᎲᎢ.	You all were wanted a while ago.
ᎨᏣᏚᎸᎲᎢ.	You all wanted them-animate a while ago.
ᎨᏣᏚᎸᎲᎢ.	They wanted you one a while ago.
ᎨᏣᏚᎸᎲᎢ.	They wanted you all a while ago.
ᏕᏣᏚᎸᎲᎢ.	You all wanted them-inanimate a while ago.
ᎬᏆᏚᎸᎲᎢ.	They wanted me a while ago.
ᎤᎾᏚᎸᎲᎢ.	They wanted him a while ago.
ᎤᎾᏚᎸᎲᎢ.	They wanted it a while ago.
ᎨᎩᎾᏚᎸᎲᎢ.	They wanted us, you one and me a while ago.
ᎪᎩᎾᏚᎸᎲᎢ.	They wanted us, him and me a while ago.
ᎨᎦᏚᎸᎲᎢ.	They wanted us, you all and me a while ago.
ᎨᎦᏚᎸᎲᎢ.	They were wanted a while ago.
ᎪᎦᏚᎸᎲᎢ.	They wanted us, them and me a while ago.
ᏚᎾᏚᎸᎲᎢ.	They wanted them-animate a while ago.
ᏚᎾᏚᎸᎲᎢ.	They wanted them-inanimate a while ago.
ᎥᏆᏚᎸᎲᎢ.	I was wanted a while ago.
ᎠᎦᏚᎸᎲᎢ.	He was wanted a while ago.
ᎡᎩᎾᏚᎸᎲᎢ.	You one and I, we were wanted a while ago.
ᎡᎦᏚᎸᎲᎢ.	You all and I, we were wanted a while ago.
ᏍᏓᏓᏚᎸᎲᎢ.	You two wanted yourselves a while ago.
ᎢᏣᏓᏚᎸᎲᎢ.	You all wanted yourselves a while ago.
ᎠᏆᏓᏚᎸᎲᎢ.	I wanted myself a while ago.
ᏣᏓᏚᎸᎲᎢ.	You one wanted yourself a while ago.
ᎤᏓᏚᎸᎲᎢ.	He wanted himself a while ago.
ᎩᎾᏓᏚᎸᎲᎢ.	You one and I, we wanted ourselves a while ago.
ᎢᎦᏓᏚᎸᎲᎢ.	You all and I, we wanted ourselves a while ago.
ᎣᎩᎾᏓᏚᎸᎲᎢ.	He and I, we wanted ourselves a while ago.
ᎣᎦᏓᏚᎸᎲᎢ.	They and I, we wanted ourselves a while ago.
ᎤᎾᏓᏚᎸᎲᎢ.	They wanted themselves a while ago.
ᏕᏍᏓᏓᏚᎸᎲᎢ.	You two wanted each other a while ago.
ᏕᏣᏓᏚᎸᎲᎢ.	You all wanted each other a while ago.
ᏕᎩᎾᏓᏚᎸᎲᎢ.	You one and I, we wanted each other a while ago.
ᏕᎦᏓᏚᎸᎲᎢ.	You all and I, we wanted each other a while ago.
ᏙᎩᎾᏓᏚᎸᎲᎢ.	He and I, we wanted each other a while ago.
ᏙᎦᏓᏚᎸᎲᎢ.	They and I, we wanted each other a while ago.
ᏚᎾᏓᏚᎸᎲᎢ.	They wanted each other a while ago.
ᎬᏯᏚᎵᏍᎪᎢ.	I often am wanting you one.
ᏥᏯᏚᎵᏍᎪᎢ.	I often am wanting him.
ᎠᏆᏚᎵᏍᎪᎢ.	I often am wanting it.
ᎠᏆᏚᎵᏍᎪᎢ.	He often is wanting me.
ᏍᏛᏯᏚᎵᏍᎪᎢ.	I often am wanting you two.
ᏍᏛᏯᏚᎵᏍᎪᎢ.	He and I, we often are wanting you one.
ᏍᏛᏯᏚᎵᏍᎪᎢ.	He and I, we often are wanting you two.
ᎢᏨᏯᏚᎵᏍᎪᎢ.	I often am wanting you all.
ᎢᏨᏯᏚᎵᏍᎪᎢ.	He and I, we often are wanting you all.
ᎢᏨᏯᏚᎵᏍᎪᎢ.	They and I, we often are wanting you one.
ᎢᏨᏯᏚᎵᏍᎪᎢ.	They and I, we often are wanting you two.
ᎢᏨᏯᏚᎵᏍᎪᎢ.	They and I, we often are wanting you all.
ᎦᏥᏯᏚᎵᏍᎪᎢ.	I often am wanting them-animate.
ᏓᏆᏚᎵᏍᎪᎢ.	I often am wanting them-inanimate.
ᏍᏆᏚᎵᏍᎪᎢ.	You one often are wanting me.
ᎯᏯᏚᎵᏍᎪᎢ.	You one often are wanting him.
ᏣᏚᎵᏍᎪᎢ.	You one often are wanting it.
ᏣᏚᎵᏍᎪᎢ.	He often is wanting you one.
ᏍᎩᎾᏚᎵᏍᎪᎢ.	You one often are wanting us, him and me.
ᏍᎩᎾᏚᎵᏍᎪᎢ.	You two often are wanting me.
ᏍᎩᎾᏚᎵᏍᎪᎢ.	You two often are wanting us, him and me.
ᎢᏍᎩᏯᏚᎵᏍᎪᎢ.	You one often are wanting us, them and me.
ᎢᏍᎩᏯᏚᎵᏍᎪᎢ.	You two often are wanting us, them and me.
ᎢᏍᎩᏯᏚᎵᏍᎪᎢ.	You all often are wanting me.
ᎢᏍᎩᏯᏚᎵᏍᎪᎢ.	You all often are wanting us, him and me.
ᎢᏍᎩᏯᏚᎵᏍᎪᎢ.	You all often are wanting us, them and me.
ᎦᎯᏯᏚᎵᏍᎪᎢ.	You one often are wanting them-animate.
ᏕᏣᏚᎵᏍᎪᎢ.	You one often are wanting them-inanimate.
ᎤᏚᎵᏍᎪᎢ.	He often is wanting him.
ᎤᏚᎵᏍᎪᎢ.	He often is wanting it.
ᎩᎾᏚᎵᏍᎪᎢ.	He often is wanting us, you one and me.
ᎩᎾᏚᎵᏍᎪᎢ.	You one and I, we often are wanting it.
ᎣᎩᎾᏚᎵᏍᎪᎢ.	He often is wanting us, him and me.
ᎣᎩᎾᏚᎵᏍᎪᎢ.	He and I, we often are wanting it.
ᎣᎩᎾᏚᎵᏍᎪᎢ.	He and I, we are often wanted.
ᎢᎦᏚᎵᏍᎪᎢ.	He often is wanting us, you all and me.
ᎢᎦᏚᎵᏍᎪᎢ.	You all and I, we often are wanting it.
ᎣᎦᏚᎵᏍᎪᎢ.	He often is wanting us, them and me.
ᎣᎦᏚᎵᏍᎪᎢ.	They and I, we often are wanting it.
ᎣᎦᏚᎵᏍᎪᎢ.	They and I, we are often wanted.
ᏍᏓᏚᎵᏍᎪᎢ.	He often is wanting you two.
ᏍᏓᏚᎵᏍᎪᎢ.	You two often are wanting it.
ᎢᏣᏚᎵᏍᎪᎢ.	He often is wanting you all.
ᎢᏣᏚᎵᏍᎪᎢ.	You all often are wanting it.
ᏚᏚᎵᏍᎪᎢ.	He often is wanting them-animate.
ᏚᏚᎵᏍᎪᎢ.	He often is wanting them-inanimate.
ᎡᎾᏚᎵᏍᎪᎢ.	You one and I, we often are wanting him.
ᎨᎾᏚᎵᏍᎪᎢ.	You one and I, we often are wanting them-animate.
ᏕᎩᎾᏚᎵᏍᎪᎢ.	You one and I, we often are wanting them-inanimate.
ᎣᏍᏓᏚᎵᏍᎪᎢ.	He and I, we often are wanting him.
ᎪᏍᏓᏚᎵᏍᎪᎢ.	He and I, we often are wanting them-animate.
ᏙᎩᎾᏚᎵᏍᎪᎢ.	He and I, we often are wanting them-inanimate.
ᎡᏓᏚᎵᏍᎪᎢ.	You all and I, we often are wanting him.
ᎨᏓᏚᎵᏍᎪᎢ.	You all and I, we often are wanting them-animate.
ᏕᎦᏚᎵᏍᎪᎢ.	You all and I, we often are wanting them-inanimate.
ᎣᏣᏚᎵᏍᎪᎢ.	They and I, we often are wanting him.
ᎪᏣᏚᎵᏍᎪᎢ.	They and I, we often are wanting them-animate.
ᏙᎦᏚᎵᏍᎪᎢ.	They and I, we often are wanting them-inanimate.
ᎡᏍᏓᏚᎵᏍᎪᎢ.	You two often are wanting him.
ᎡᏍᏓᏚᎵᏍᎪᎢ.	You two are often wanted.
ᎨᏍᏓᏚᎵᏍᎪᎢ.	You two often are wanting them-animate.
ᎨᏍᏓᏚᎵᏍᎪᎢ.	They often are wanting you two.
ᏕᏍᏓᏚᎵᏍᎪᎢ.	You two often are wanting them-inanimate.
ᎡᏣᏚᎵᏍᎪᎢ.	You all often are wanting him.
ᎡᏣᏚᎵᏍᎪᎢ.	You one are often wanted.
ᎡᏣᏚᎵᏍᎪᎢ.	You all are often wanted.
ᎨᏣᏚᎵᏍᎪᎢ.	You all often are wanting them-animate.
ᎨᏣᏚᎵᏍᎪᎢ.	They often are wanting you one.
ᎨᏣᏚᎵᏍᎪᎢ.	They often are wanting you all.
ᏕᏣᏚᎵᏍᎪᎢ.	You all often are wanting them-inanimate.
ᎬᏆᏚᎵᏍᎪᎢ.	They often are wanting me.
ᎤᎾᏚᎵᏍᎪᎢ.	They often are wanting him.
ᎤᎾᏚᎵᏍᎪᎢ.	They often are wanting it.
ᎨᎩᎾᏚᎵᏍᎪᎢ.	They often are wanting us, you one and me.
ᎪᎩᎾᏚᎵᏍᎪᎢ.	They often are wanting us, him and me.
ᎨᎦᏚᎵᏍᎪᎢ.	They often are wanting us, you all and me.
ᎨᎦᏚᎵᏍᎪᎢ.	They are often wanted.
ᎪᎦᏚᎵᏍᎪᎢ.	They often are wanting us, them and me.
ᏚᎾᏚᎵᏍᎪᎢ.	They often are wanting them-animate.
ᏚᎾᏚᎵᏍᎪᎢ.	They often are wanting them-inanimate.
ᎥᏆᏚᎵᏍᎪᎢ.	I am often wanted.
ᎠᎦᏚᎵᏍᎪᎢ.	He is often wanted.
ᎡᎩᎾᏚᎵᏍᎪᎢ.	You one and I, we are often wanted.
ᎡᎦᏚᎵᏍᎪᎢ.	You all and I, we are often wanted.
ᏍᏓᏓᏚᎵᏍᎪᎢ.	You two often are wanting yourselves.
ᎢᏣᏓᏚᎵᏍᎪᎢ.	You all often are wanting yourselves.
ᎠᏆᏓᏚᎵᏍᎪᎢ.	I often am wanting myself.
ᏣᏓᏚᎵᏍᎪᎢ.	You one often are wanting yourself.
ᎤᏓᏚᎵᏍᎪᎢ.	He often is wanting himself.
ᎩᎾᏓᏚᎵᏍᎪᎢ.	You one and I, we often are wanting ourselves.
ᎢᎦᏓᏚᎵᏍᎪᎢ.	You all and I, we often are wanting ourselves.
ᎣᎩᎾᏓᏚᎵᏍᎪᎢ.	He and I, we often are wanting ourselves.
ᎣᎦᏓᏚᎵᏍᎪᎢ.	They and I, we often are wanting ourselves.
ᎤᎾᏓᏚᎵᏍᎪᎢ.	They often are wanting themselves.
ᏕᏍᏓᏓᏚᎵᏍᎪᎢ.	You two often are wanting each other.
ᏕᏣᏓᏚᎵᏍᎪᎢ.	You all often are wanting each other.
ᏕᎩᎾᏓᏚᎵᏍᎪᎢ.	You one and I, we often are wanting each other.
ᏕᎦᏓᏚᎵᏍᎪᎢ.	You all and I, we often are wanting each other.
ᏙᎩᎾᏓᏚᎵᏍᎪᎢ.	He and I, we often are wanting each other.
ᏙᎦᏓᏚᎵᏍᎪᎢ.	They and I, we often are wanting each other.
ᏚᎾᏓᏚᎵᏍᎪᎢ.	They often are wanting each other.
ᏫᎬᏯᏚᎳ.	Let me want you one.
ᏫᏥᏯᏚᎳ.	Let me want him.
ᏩᏆᏚᎳ.	Let me want it.
ᏩᏆᏚᎳ.	Let him want me.
ᏫᏍᏛᏯᏚᎳ.	Let me want you two.
ᏫᏍᏛᏯᏚᎳ.	Let us, him and me, want you one.
ᏫᏍᏛᏯᏚᎳ.	Let us, him and me, want you two.
ᏫᏨᏯᏚᎳ.	Let me want you all.
ᏫᏨᏯᏚᎳ.	Let us, him and me, want you all.
ᏫᏨᏯᏚᎳ.	Let us, them and me, want you one.
ᏫᏨᏯᏚᎳ.	Let us, them and me, want you two.
ᏫᏨᏯᏚᎳ.	Let us, them and me, want you all.
ᏫᎦᏥᏯᏚᎳ.	Let me want them-animate.
ᏫᏗᏆᏚᎳ.	Let me want them-inanimate.
ᏍᏆᏚᎳ.	Let you one want me.
ᎯᏯᏚᎳ.	Let you one want him.
ᏣᏚᎳ.	Let you one want it.
ᏍᎩᎾᏚᎳ.	Let you one want us, him and me.
ᏍᎩᎾᏚᎳ.	Let you two want me.
ᏍᎩᎾᏚᎳ.	Let you two want us, him and me.
ᎢᏍᎩᏯᏚᎳ.	Let you one want us, them and me.
ᎢᏍᎩᏯᏚᎳ.	Let you two want us, them and me.
ᎢᏍᎩᏯᏚᎳ.	Let you all want me.
ᎢᏍᎩᏯᏚᎳ.	Let you all want us, him and me.
ᎢᏍᎩᏯᏚᎳ.	Let you all want us, them and me.
ᎦᎯᏯᏚᎳ.	Let you one want them-animate.
ᏗᏣᏚᎳ.	Let you one want them-inanimate.
ᏗᏣᏚᎳ.	Let you all want them-inanimate.
ᏫᏣᏚᎳ.	Let him want you one.
ᏭᏚᎳ.	Let him want him.
ᏭᏚᎳ.	Let him want it.
ᏫᎩᎾᏚᎳ.	Let him want us, you one and me.
ᏬᎩᎾᏚᎳ.	Let him want us, him and me.
ᏬᎩᎾᏚᎳ.	Let us, him and me, want it.
ᏬᎩᎾᏚᎳ.	Let us, him and me, be wanted.
ᏫᎦᏚᎳ.	Let him want us, you all and me.
ᏬᎦᏚᎳ.	Let him want us, them and me.
ᏬᎦᏚᎳ.	Let us, them and me, want it.
ᏬᎦᏚᎳ.	Let us, them and me, be wanted.
ᏫᏍᏓᏚᎳ.	Let him want you two.
ᏫᏣᏚᎳ.	Let him want you all.
ᏫᏧᏚᎳ.	Let him want them-animate.
ᏫᏧᏚᎳ.	Let him want them-inanimate.
ᎡᎾᏚᎳ.	Let us, you one and me, want him.
ᎩᎾᏚᎳ.	Let us, you one and me, want it.
ᎨᎾᏚᎳ.	Let us, you one and me, want them-animate.
ᏗᎩᎾᏚᎳ.	Let us, you one and me, want them-inanimate.
ᏬᏍᏓᏚᎳ.	Let us, him and me, want him.
ᏫᎪᏍᏓᏚᎳ.	Let us, him and me, want them-animate.
ᏫᏦᎩᎾᏚᎳ.	Let us, him and me, want them-inanimate.
ᎡᏓᏚᎳ.	Let us, you all and me, want him.
ᎢᎦᏚᎳ.	Let us, you all and me, want it.
ᎨᏓᏚᎳ.	Let us, you all and me, want them-animate.
ᏗᎦᏚᎳ.	Let us, you all and me, want them-inanimate.
ᏬᏣᏚᎳ.	Let us, them and me, want him.
ᏫᎪᏣᏚᎳ.	Let us, them and me, want them-animate.
ᏫᏦᎦᏚᎳ.	Let us, them and me, want them-inanimate.
ᎡᏍᏓᏚᎳ.	Let you two want him.
ᎡᏍᏓᏚᎳ.	Let you two be wanted.
ᏍᏓᏚᎳ.	Let you two want it.
ᎨᏍᏓᏚᎳ.	Let you two want them-animate.
ᏗᏍᏓᏚᎳ.	Let you two want them-inanimate.
ᎡᏣᏚᎳ.	Let you all want him.
ᎡᏣᏚᎳ.	Let you one be wanted.
ᎡᏣᏚᎳ.	Let you all be wanted.
ᎢᏣᏚᎳ.	Let you all want it.
ᎨᏣᏚᎳ.	Let you all want them-animate.
ᏫᎬᏆᏚᎳ.	Let them want me.
ᏫᎨᏣᏚᎳ.	Let them want you one.
ᏫᎨᏣᏚᎳ.	Let them want you all.
ᏭᎾᏚᎳ.	Let them want him.
ᏭᎾᏚᎳ.	Let them want it.
ᏫᎨᎩᎾᏚᎳ.	Let them want us, you one and me.
ᏫᎪᎩᎾᏚᎳ.	Let them want us, him and me.
ᏫᎨᎦᏚᎳ.	Let them want us, you all and me.
ᏫᎨᎦᏚᎳ.	Let them be wanted.
ᏫᎪᎦᏚᎳ.	Let them want us, them and me.
ᏫᎨᏍᏓᏚᎳ.	Let them want you two.
ᏫᏧᎾᏚᎳ.	Let them want them-animate.
ᏫᏧᎾᏚᎳ.	Let them want them-inanimate.
ᏮᏆᏚᎳ.	Let me be wanted.
ᏩᎦᏚᎳ.	Let him be wanted.
ᎡᎩᎾᏚᎳ.	Let us, you one and me, be wanted.
ᎡᎦᏚᎳ.	Let us, you all and me, be wanted.
ᏍᏓᏓᏚᎳ.	Let you two want yourselves.
ᎢᏣᏓᏚᎳ.	Let you all want yourselves.
ᏩᏆᏓᏚᎳ.	Let me want myself.
ᏣᏓᏚᎳ.	Let you one want yourself.
ᏭᏓᏚᎳ.	Let him want himself.
ᎩᎾᏓᏚᎳ.	Let us, you one and me, want ourselves.
ᎢᎦᏓᏚᎳ.	Let us, you all and me, want ourselves.
ᏬᎩᎾᏓᏚᎳ.	Let us, him and me, want ourselves.
ᏬᎦᏓᏚᎳ.	Let us, them and me, want ourselves.
ᏭᎾᏓᏚᎳ.	Let them want themselves.
ᏗᏍᏓᏓᏚᎳ.	Let you two want each other.
ᏗᏣᏓᏚᎳ.	Let you all want each other.
ᏗᎩᎾᏓᏚᎳ.	Let us, you one and me, want each other.
ᏗᎦᏓᏚᎳ.	Let us, you all and me, want each other.
ᏫᏦᎩᎾᏓᏚᎳ.	Let us, him and me, want each other.
ᏫᏦᎦᏓᏚᎳ.	Let us, them and me, want each other.
ᏫᏧᎾᏓᏚᎳ.	Let them want each other.
ᎬᏯᏚᎳ.	I wanted you one recently.
ᏥᏯᏚᎳ.	I wanted him recently.
ᎠᏆᏚᎳ.	I wanted it recently.
ᎠᏆᏚᎳ.	He wanted me recently.
ᏍᏛᏯᏚᎳ.	I wanted you two recently.
ᏍᏛᏯᏚᎳ.	He and I, we wanted you one recently.
ᏍᏛᏯᏚᎳ.	He and I, we wanted you two recently.
ᎢᏨᏯᏚᎳ.	I wanted you all recently.
ᎢᏨᏯᏚᎳ.	He and I, we wanted you all recently.
ᎢᏨᏯᏚᎳ.	They and I, we wanted you one recently.
ᎢᏨᏯᏚᎳ.	They and I, we wanted you two recently.
ᎢᏨᏯᏚᎳ.	They and I, we wanted you all recently.
ᎦᏥᏯᏚᎳ.	I wanted them-animate recently.
ᏓᏆᏚᎳ.	I wanted them-inanimate recently.
ᏍᏆᏚᎳ.	You one wanted me recently.
ᎯᏯᏚᎳ.	You one wanted him recently.
ᏣᏚᎳ.	You one wanted it recently.
ᏣᏚᎳ.	He wanted you one recently.
ᏍᎩᎾᏚᎳ.	You one wanted us recently, him and me.
ᏍᎩᎾᏚᎳ.	You two wanted me recently.
ᏍᎩᎾᏚᎳ.	You two wanted us recently, him and me.
ᎢᏍᎩᏯᏚᎳ.	You one wanted us recently, them and me.
ᎢᏍᎩᏯᏚᎳ.	You two wanted us recently, them and me.
ᎢᏍᎩᏯᏚᎳ.	You all wanted me recently.
ᎢᏍᎩᏯᏚᎳ.	You all wanted us recently, him and me.
ᎢᏍᎩᏯᏚᎳ.	You all wanted us recently, them and me.
ᎦᎯᏯᏚᎳ.	You one wanted them-animate recently.
ᏕᏣᏚᎳ.	You one wanted them-inanimate recently.
ᎤᏚᎳ.	He wanted him recently.
ᎤᏚᎳ.	He wanted it recently.
ᎩᎾᏚᎳ.	He wanted us recently, you one and me.
ᎩᎾᏚᎳ.	You one and I, we wanted it recently.
ᎣᎩᎾᏚᎳ.	He wanted us recently, him and me.
ᎣᎩᎾᏚᎳ.	He and I, we wanted it recently.
ᎣᎩᎾᏚᎳ.	He and I, we were wanted recently.
ᎢᎦᏚᎳ.	He wanted us recently, you all and me.
ᎢᎦᏚᎳ.	You all and I, we wanted it recently.
ᎣᎦᏚᎳ.	He wanted us recently, them and me.
ᎣᎦᏚᎳ.	They and I, we wanted it recently.
ᎣᎦᏚᎳ.	They and I, we were wanted recently.
ᏍᏓᏚᎳ.	He wanted you two recently.
ᏍᏓᏚᎳ.	You two wanted it recently.
ᎢᏣᏚᎳ.	He wanted you all recently.
ᎢᏣᏚᎳ.	You all wanted it recently.
ᏚᏚᎳ.	He wanted them-animate recently.
ᏚᏚᎳ.	He wanted them-inanimate recently.
ᎡᎾᏚᎳ.	You one and I, we wanted him recently.
ᎨᎾᏚᎳ.	You one and I, we wanted them-animate recently.
ᏕᎩᎾᏚᎳ.	You one and I, we wanted them-inanimate recently.
ᎣᏍᏓᏚᎳ.	He and I, we wanted him recently.
ᎪᏍᏓᏚᎳ.	He and I, we wanted them-animate recently.
ᏙᎩᎾᏚᎳ.	He and I, we wanted them-inanimate recently.
ᎡᏓᏚᎳ.	You all and I, we wanted him recently.
ᎨᏓᏚᎳ.	You all and I, we wanted them-animate recently.
ᏕᎦᏚᎳ.	You all and I, we wanted them-inanimate recently.
ᎣᏣᏚᎳ.	They and I, we wanted him recently.
ᎪᏣᏚᎳ.	They and I, we wanted them-animate recently.
ᏙᎦᏚᎳ.	They and I, we wanted them-inanimate recently.
ᎡᏍᏓᏚᎳ.	You two wanted him recently.
ᎡᏍᏓᏚᎳ.	You two were wanted recently.
ᎨᏍᏓᏚᎳ.	You two wanted them-animate recently.
ᎨᏍᏓᏚᎳ.	They wanted you two recently.
ᏕᏍᏓᏚᎳ.	You two wanted them-inanimate recently.
